date,rain,sun,cedar,cypress,value
2月15日,3.6,6,64.1,0,1
2月16日,1.6,7,36.6,0,2
2月17日,2.9,6.7,4.4,0,3
2月18日,1.5,5.7,2.1,0,4
2月19日,3.9,6.5,8.1,0,5
2月20日,3.2,6.6,92.6,0,6
2月21日,1.6,6.7,269.9,0,7
2月22日,5.2,6.9,582.6,0,8
2月23日,2.6,6.6,171.5,0,9
2月24日,2.2,6.6,172.9,0,10
2月25日,2,6.7,19.2,0,11
2月26日,5.5,7.2,118.5,0,12
2月27日,3.3,6.6,68.1,0,13
2月28日,4.7,6,48.8,0,14
3月1日,6.5,5.9,203.5,0,15
3月2日,0.7,7.5,44.2,0,16
3月3日,3.8,7,163.2,0,17
3月4日,1.9,7.6,88.7,0,18
3月5日,5.4,6.8,8.3,0,19
3月6日,4.8,7.7,82.9,0,20
3月7日,2.4,7,96.1,0.2,21
3月8日,3.5,7.8,88.9,0.5,22
3月9日,3.1,7.3,22,0,23
3月10日,5.9,7.3,103.2,0.9,24
3月11日,1.8,7.5,24.3,0.2,25
3月12日,1.4,8.4,29.9,0.9,26
3月13日,3.8,7.9,12.3,1.4,27
3月14日,3.1,8.3,42.1,1.9,28
3月15日,4.5,7.3,40.3,4.4,29
3月16日,4.9,7.8,88.7,53.9,30
3月17日,1.8,8.5,36.8,12.5,31
3月18日,4.2,8.1,13.2,15.7,32
3月19日,3.4,7.7,10,56.5,33
3月20日,5.4,7.3,6.5,110.2,34
3月21日,3.7,7.9,1.6,1.2,35
3月22日,5,7.9,13,41,36
3月23日,2.1,8.4,7.9,14.8,37
3月24日,6.3,8.4,4.6,46.3,38
3月25日,2.5,8.4,2.5,99.1,39
3月26日,3.3,8.5,6.5,59.7,40
3月27日,2.6,8.8,3.7,112.3,41
3月28日,3.2,8.7,0.9,17.6,42
3月29日,4.4,8.9,2.5,39.1,43
3月30日,4.4,9.1,1.9,122.7,44
3月31日,3.5,8.5,1.4,140,45
4月1日,4.7,9.1,0.5,161.6,46
4月2日,3.1,8.7,3.2,237.7,47
4月3日,2.8,8.9,0.7,58.6,48
4月4日,5.7,8.6,0.5,17.4,49
4月5日,3.4,8.7,1.2,23.8,50
4月6日,5.8,9.2,0,5.3,51
4月7日,4.2,8.6,0.2,16.9,52
4月8日,4.5,8.5,0,25.2,53
4月9日,2.2,9.3,0,4.4,54
4月10日,5.7,9.1,0.2,3.2,55
4月11日,6.4,7.7,0.2,2.5,56
4月12日,4.8,7.9,0.2,22.5,57
4月13日,3.4,9.6,0,1.9,58
4月14日,6.4,9,0.2,3.9,59
4月15日,1.8,9,0,3.9,60
