country,min_doll
Australia,24481.20
Belgium,22746.80
Canada,20946.00
Chile,7044.40
Colombia,7677.40
Czech Republic,10789.90
Estonia,9890.20
France,21860.30
Germany,23439.60
Greece,13040.00
Hungary,11049.20
Ireland,20585.90
Israel,15416.50
Japan,16607.60
Korea,19540.80
Latvia,9168.80
Lithuania,9694.00
Luxembourg,25811.00
Mexico,2238.50
Netherlands,24859.90
New Zealand,21716.30
Poland,13704.80
Portugal,12720.30
Slovak Republic,10001.10
Slovenia,16015.80
Spain,14731.80
Turkey,12848.30
United Kingdom,21132.20
United States,15353.30
Costa Rica,9326.50
Brazil,4925.30
Russian Federation,4936.50
