country,value,color
Australia,24481.2,red
Belgium,22746.8,black
Canada,20946,black
Chile,7044.4,black
Colombia,7677.4,black
Czech Republic,10789.9,black
Estonia,9890.2,black
France,21860.3,black
Germany,23439.6,red
Greece,13040,black
Hungary,11049.2,black
Ireland,20585.9,black
Israel,15416.5,black
Japan,16607.6,black
Korea,19540.8,black
Latvia,9168.8,black
Lithuania,9694,black
Luxembourg,25811,red
Mexico,2238.5,black
Netherlands,24859.9,red
New Zealand,21716.3,black
Poland,13704.8,black
Portugal,12720.3,black
Slovak Republic,10001.1,black
Slovenia,16015.8,black
Spain,14731.8,black
Turkey,12848.3,black
United Kingdom,21132.2,black
United States,15353.3,black
Costa Rica,9326.5,black
Brazil,4925.3,black
Russian Federation,4936.5,black
