id,country,value,color
1,Australia,24481.2,red
2,Belgium,22746.8,black
3,Canada,20946,black
4,Chile,7044.4,black
5,Colombia,7677.4,black
6,Czech Republic,10789.9,black
7,Estonia,9890.2,black
8,France,21860.3,black
9,Germany,23439.6,red
10,Greece,13040,black
11,Hungary,11049.2,black
12,Ireland,20585.9,black
13,Israel,15416.5,black
14,Japan,16607.6,black
15,Korea,19540.8,black
16,Latvia,9168.8,black
17,Lithuania,9694,black
18,Luxembourg,25811,red
19,Mexico,2238.5,black
20,Netherlands,24859.9,red
21,New Zealand,21716.3,black
22,Poland,13704.8,black
23,Portugal,12720.3,black
24,Slovak Republic,10001.1,black
25,Slovenia,16015.8,black
26,Spain,14731.8,black
27,Turkey,12848.3,black
28,United Kingdom,21132.2,black
29,United States,15353.3,black
30,Costa Rica,9326.5,black
31,Brazil,4925.3,black
32,Russian Federation,4936.5,black
